Category: All categories

Day,gold: (United States)
2022-06-02,76
2022-06-03,85
2022-06-04,83
2022-06-05,85
2022-06-06,77
2022-06-07,81
2022-06-08,82
2022-06-09,80
2022-06-10,84
2022-06-11,85
2022-06-12,89
2022-06-13,87
2022-06-14,89
2022-06-15,87
2022-06-16,83
2022-06-17,84
2022-06-18,91
2022-06-19,90
2022-06-20,84
2022-06-21,83
2022-06-22,83
2022-06-23,81
2022-06-24,79
2022-06-25,86
2022-06-26,87
2022-06-27,82
2022-06-28,81
2022-06-29,83
2022-06-30,80
2022-07-01,82
2022-07-02,88
2022-07-03,86
2022-07-04,88
2022-07-05,83
2022-07-06,85
2022-07-07,85
2022-07-08,83
2022-07-09,92
2022-07-10,92
2022-07-11,85
2022-07-12,87
2022-07-13,86
2022-07-14,88
2022-07-15,87
2022-07-16,95
2022-07-17,95
2022-07-18,86
2022-07-19,85
2022-07-20,83
2022-07-21,87
2022-07-22,87
2022-07-23,92
2022-07-24,94
2022-07-25,89
2022-07-26,86
2022-07-27,84
2022-07-28,86
2022-07-29,84
2022-07-30,88
2022-07-31,90
2022-08-01,84
2022-08-02,85
2022-08-03,83
2022-08-04,84
2022-08-05,83
2022-08-06,89
2022-08-07,94
2022-08-08,89
2022-08-09,85
2022-08-10,81
2022-08-11,84
2022-08-12,87
2022-08-13,88
2022-08-14,91
2022-08-15,87
2022-08-16,80
2022-08-17,84
2022-08-18,82
2022-08-19,83
2022-08-20,95
2022-08-21,93
2022-08-22,87
2022-08-23,82
2022-08-24,77
2022-08-25,80
2022-08-26,85
2022-08-27,93
2022-08-28,91
2022-08-29,83
2022-08-30,85
2022-08-31,82
2022-09-01,83
2022-09-02,83
2022-09-03,83
2022-09-04,89
2022-09-05,92
2022-09-06,81
2022-09-07,81
2022-09-08,73
2022-09-09,72
2022-09-10,91
2022-09-11,83
2022-09-12,83
2022-09-13,78
2022-09-14,84
2022-09-15,86
2022-09-16,85
2022-09-17,91
2022-09-18,85
2022-09-19,84
2022-09-20,83
2022-09-21,80
2022-09-22,81
2022-09-23,84
2022-09-24,88
2022-09-25,87
2022-09-26,82
2022-09-27,78
2022-09-28,75
2022-09-29,79
2022-09-30,81
2022-10-01,90
2022-10-02,87
2022-10-03,82
2022-10-04,83
2022-10-05,81
2022-10-06,82
2022-10-07,82
2022-10-08,85
2022-10-09,86
2022-10-10,83
2022-10-11,80
2022-10-12,82
2022-10-13,83
2022-10-14,84
2022-10-15,86
2022-10-16,79
2022-10-17,83
2022-10-18,84
2022-10-19,84
2022-10-20,76
2022-10-21,82
2022-10-22,92
2022-10-23,85
2022-10-24,81
2022-10-25,80
2022-10-26,85
2022-10-27,81
2022-10-28,73
2022-10-29,88
2022-10-30,84
2022-10-31,77
2022-11-01,78
2022-11-02,83
2022-11-03,81
2022-11-04,84
2022-11-05,88
2022-11-06,91
2022-11-07,86
2022-11-08,79
2022-11-09,74
2022-11-10,84
2022-11-11,92
2022-11-12,91
2022-11-13,93
2022-11-14,84
2022-11-15,80
2022-11-16,82
2022-11-17,83
2022-11-18,85
2022-11-19,92
2022-11-20,90
2022-11-21,86
2022-11-22,79
2022-11-23,83
2022-11-24,83
2022-11-25,99
2022-11-26,98
2022-11-27,100
2022-11-28,92
2022-11-29,86
2022-11-30,85
2022-12-01,91
2022-12-02,88
2022-12-03,98
2022-12-04,94
2022-12-05,92
2022-12-06,86
2022-12-07,92
2022-12-08,88
2022-12-09,89
2022-12-10,96
2022-12-11,94
2022-12-12,93
2022-12-13,87
2022-12-14,91
2022-12-15,86
2022-12-16,91
2022-12-17,95
2022-12-18,91
2022-12-19,91
2022-12-20,90
2022-12-21,87
2022-12-22,85
2022-12-23,87
2022-12-24,85
2022-12-25,93
2022-12-26,96
2022-12-27,95
2022-12-28,93
2022-12-29,92
2022-12-30,91
2022-12-31,93
2023-01-01,75
