Category: All categories

Day,gold: (United States)
2024-01-02,80
2024-01-03,82
2024-01-04,78
2024-01-05,86
2024-01-06,87
2024-01-07,83
2024-01-08,81
2024-01-09,75
2024-01-10,75
2024-01-11,75
2024-01-12,73
2024-01-13,83
2024-01-14,82
2024-01-15,77
2024-01-16,73
2024-01-17,77
2024-01-18,75
2024-01-19,76
2024-01-20,85
2024-01-21,79
2024-01-22,75
2024-01-23,76
2024-01-24,76
2024-01-25,74
2024-01-26,76
2024-01-27,84
2024-01-28,81
2024-01-29,76
2024-01-30,76
2024-01-31,72
2024-02-01,74
2024-02-02,73
2024-02-03,83
2024-02-04,85
2024-02-05,76
2024-02-06,73
2024-02-07,76
2024-02-08,72
2024-02-09,74
2024-02-10,87
2024-02-11,82
2024-02-12,69
2024-02-13,74
2024-02-14,77
2024-02-15,78
2024-02-16,78
2024-02-17,83
2024-02-18,94
2024-02-19,86
2024-02-20,84
2024-02-21,81
2024-02-22,82
2024-02-23,79
2024-02-24,89
2024-02-25,89
2024-02-26,80
2024-02-27,83
2024-02-28,82
2024-02-29,80
2024-03-01,78
2024-03-02,89
2024-03-03,92
2024-03-04,92
2024-03-05,85
2024-03-06,88
2024-03-07,100
2024-03-08,88
2024-03-09,92
2024-03-10,95
2024-03-11,88
2024-03-12,80
2024-03-13,79
2024-03-14,79
2024-03-15,81
2024-03-16,87
2024-03-17,88
2024-03-18,80
2024-03-19,77
2024-03-20,78
2024-03-21,79
2024-03-22,75
2024-03-23,85
2024-03-24,85
2024-03-25,80
2024-03-26,75
2024-03-27,78
2024-03-28,78
2024-03-29,79
2024-03-30,84
2024-03-31,80
2024-04-01,81
2024-04-02,83
2024-04-03,83
2024-04-04,80
2024-04-05,85
2024-04-06,86
2024-04-07,88
2024-04-08,78
2024-04-09,83
2024-04-10,89
2024-04-11,85
2024-04-12,99
2024-04-13,93
2024-04-14,95
2024-04-15,90
2024-04-16,83
2024-04-17,84
2024-04-18,84
2024-04-19,90
2024-04-20,93
2024-04-21,93
2024-04-22,86
2024-04-23,83
2024-04-24,84
2024-04-25,80
2024-04-26,80
2024-04-27,87
2024-04-28,85
2024-04-29,88
2024-04-30,82
2024-05-01,79
2024-05-02,80
2024-05-03,84
2024-05-04,86
2024-05-05,86
2024-05-06,84
2024-05-07,80
2024-05-08,80
2024-05-09,79
2024-05-10,81
2024-05-11,84
2024-05-12,86
2024-05-13,80
2024-05-14,78
2024-05-15,79
2024-05-16,80
2024-05-17,81
2024-05-18,86
2024-05-19,84
2024-05-20,84
2024-05-21,81
2024-05-22,77
2024-05-23,77
2024-05-24,78
2024-05-25,80
2024-05-26,81
2024-05-27,83
2024-05-28,78
2024-05-29,76
2024-05-30,80
2024-05-31,76
2024-06-01,84
