Category: All categories

Day,gold: (United States)
2019-01-02,93
2019-01-03,94
2019-01-04,91
2019-01-05,99
2019-01-06,100
2019-01-07,88
2019-01-08,84
2019-01-09,79
2019-01-10,88
2019-01-11,83
2019-01-12,94
2019-01-13,90
2019-01-14,84
2019-01-15,80
2019-01-16,83
2019-01-17,83
2019-01-18,83
2019-01-19,93
2019-01-20,89
2019-01-21,83
2019-01-22,76
2019-01-23,81
2019-01-24,84
2019-01-25,85
2019-01-26,100
2019-01-27,98
2019-01-28,82
2019-01-29,84
2019-01-30,82
2019-01-31,87
2019-02-01,89
2019-02-02,98
2019-02-03,92
2019-02-04,76
2019-02-05,84
2019-02-06,78
2019-02-07,88
2019-02-08,85
2019-02-09,96
2019-02-10,95
2019-02-11,89
2019-02-12,81
2019-02-13,81
2019-02-14,83
2019-02-15,85
2019-02-16,90
2019-02-17,92
2019-02-18,84
2019-02-19,81
2019-02-20,84
2019-02-21,80
2019-02-22,81
2019-02-23,92
2019-02-24,90
2019-02-25,84
2019-02-26,85
2019-02-27,86
2019-02-28,78
2019-03-01,85
2019-03-02,94
2019-03-03,93
2019-03-04,85
2019-03-05,79
2019-03-06,81
2019-03-07,81
2019-03-08,86
2019-03-09,88
2019-03-10,91
2019-03-11,87
2019-03-12,81
2019-03-13,80
2019-03-14,90
2019-03-15,84
2019-03-16,94
2019-03-17,93
2019-03-18,82
2019-03-19,83
2019-03-20,78
2019-03-21,77
2019-03-22,84
2019-03-23,92
2019-03-24,97
2019-03-25,87
2019-03-26,80
2019-03-27,81
2019-03-28,84
2019-03-29,83
2019-03-30,94
2019-03-31,94
2019-04-01,81
2019-04-02,85
2019-04-03,82
2019-04-04,84
2019-04-05,81
2019-04-06,88
2019-04-07,90
2019-04-08,83
2019-04-09,78
2019-04-10,82
2019-04-11,84
2019-04-12,80
2019-04-13,91
2019-04-14,89
2019-04-15,78
2019-04-16,80
2019-04-17,84
2019-04-18,81
2019-04-19,80
2019-04-20,85
2019-04-21,87
2019-04-22,76
2019-04-23,81
2019-04-24,77
2019-04-25,80
2019-04-26,77
2019-04-27,87
2019-04-28,92
2019-04-29,79
2019-04-30,80
2019-05-01,79
2019-05-02,77
2019-05-03,83
2019-05-04,90
2019-05-05,85
2019-05-06,85
2019-05-07,81
2019-05-08,80
2019-05-09,80
2019-05-10,86
2019-05-11,87
2019-05-12,87
2019-05-13,80
2019-05-14,83
2019-05-15,80
2019-05-16,78
2019-05-17,81
2019-05-18,86
2019-05-19,83
2019-05-20,81
2019-05-21,80
2019-05-22,79
2019-05-23,80
2019-05-24,79
2019-05-25,83
2019-05-26,88
2019-05-27,85
2019-05-28,79
2019-05-29,80
2019-05-30,81
2019-05-31,81
2019-06-01,87
