Category: All categories

Day,gold: (United States)
2023-01-01,78
2023-01-02,85
2023-01-03,77
2023-01-04,82
2023-01-05,81
2023-01-06,81
2023-01-07,87
2023-01-08,87
2023-01-09,82
2023-01-10,79
2023-01-11,80
2023-01-12,82
2023-01-13,81
2023-01-14,91
2023-01-15,83
2023-01-16,87
2023-01-17,82
2023-01-18,79
2023-01-19,85
2023-01-20,81
2023-01-21,87
2023-01-22,89
2023-01-23,79
2023-01-24,83
2023-01-25,79
2023-01-26,82
2023-01-27,84
2023-01-28,91
2023-01-29,89
2023-01-30,80
2023-01-31,79
2023-02-01,82
2023-02-02,81
2023-02-03,85
2023-02-04,92
2023-02-05,89
2023-02-06,81
2023-02-07,83
2023-02-08,79
2023-02-09,82
2023-02-10,81
2023-02-11,90
2023-02-12,83
2023-02-13,74
2023-02-14,78
2023-02-15,78
2023-02-16,79
2023-02-17,82
2023-02-18,87
2023-02-19,87
2023-02-20,79
2023-02-21,76
2023-02-22,77
2023-02-23,76
2023-02-24,79
2023-02-25,88
2023-02-26,90
2023-02-27,80
2023-02-28,77
2023-03-01,79
2023-03-02,76
2023-03-03,78
2023-03-04,84
2023-03-05,85
2023-03-06,84
2023-03-07,80
2023-03-08,80
2023-03-09,76
2023-03-10,85
2023-03-11,89
2023-03-12,89
2023-03-13,89
2023-03-14,93
2023-03-15,88
2023-03-16,88
2023-03-17,92
2023-03-18,94
2023-03-19,95
2023-03-20,94
2023-03-21,87
2023-03-22,86
2023-03-23,86
2023-03-24,92
2023-03-25,93
2023-03-26,91
2023-03-27,83
2023-03-28,84
2023-03-29,88
2023-03-30,83
2023-03-31,87
2023-04-01,92
2023-04-02,93
2023-04-03,89
2023-04-04,88
2023-04-05,90
2023-04-06,90
2023-04-07,90
2023-04-08,92
2023-04-09,89
2023-04-10,100
2023-04-11,94
2023-04-12,89
2023-04-13,87
2023-04-14,92
2023-04-15,87
2023-04-16,94
2023-04-17,86
2023-04-18,83
2023-04-19,85
2023-04-20,82
2023-04-21,87
2023-04-22,99
2023-04-23,91
2023-04-24,88
2023-04-25,84
2023-04-26,86
2023-04-27,80
2023-04-28,83
2023-04-29,88
2023-04-30,89
2023-05-01,86
2023-05-02,88
2023-05-03,85
2023-05-04,91
2023-05-05,82
2023-05-06,91
2023-05-07,88
2023-05-08,86
2023-05-09,83
2023-05-10,83
2023-05-11,80
2023-05-12,80
2023-05-13,89
2023-05-14,82
2023-05-15,79
2023-05-16,84
2023-05-17,79
2023-05-18,82
2023-05-19,82
2023-05-20,87
2023-05-21,83
2023-05-22,80
2023-05-23,79
2023-05-24,79
2023-05-25,79
2023-05-26,73
2023-05-27,87
2023-05-28,89
2023-05-29,87
2023-05-30,78
2023-05-31,79
