Category: All categories

Day,gold: (United States)
2023-06-01,54
2023-06-02,55
2023-06-03,59
2023-06-04,60
2023-06-05,54
2023-06-06,52
2023-06-07,54
2023-06-08,54
2023-06-09,54
2023-06-10,58
2023-06-11,57
2023-06-12,56
2023-06-13,54
2023-06-14,54
2023-06-15,56
2023-06-16,55
2023-06-17,60
2023-06-18,60
2023-06-19,62
2023-06-20,56
2023-06-21,55
2023-06-22,54
2023-06-23,56
2023-06-24,63
2023-06-25,77
2023-06-26,69
2023-06-27,65
2023-06-28,63
2023-06-29,71
2023-06-30,72
2023-07-01,71
2023-07-02,87
2023-07-03,95
2023-07-04,73
2023-07-05,74
2023-07-06,62
2023-07-07,59
2023-07-08,73
2023-07-09,100
2023-07-10,89
2023-07-11,64
2023-07-12,72
2023-07-13,96
2023-07-14,61
2023-07-15,65
2023-07-16,79
2023-07-17,81
2023-07-18,57
2023-07-19,58
2023-07-20,54
2023-07-21,54
2023-07-22,57
2023-07-23,56
2023-07-24,57
2023-07-25,53
2023-07-26,56
2023-07-27,57
2023-07-28,55
2023-07-29,61
2023-07-30,57
2023-07-31,55
2023-08-01,53
2023-08-02,53
2023-08-03,54
2023-08-04,53
2023-08-05,58
2023-08-06,57
2023-08-07,54
2023-08-08,53
2023-08-09,55
2023-08-10,51
2023-08-11,54
2023-08-12,59
2023-08-13,60
2023-08-14,54
2023-08-15,50
2023-08-16,54
2023-08-17,54
2023-08-18,55
2023-08-19,60
2023-08-20,59
2023-08-21,53
2023-08-22,56
2023-08-23,55
2023-08-24,51
2023-08-25,51
2023-08-26,58
2023-08-27,58
2023-08-28,55
2023-08-29,53
2023-08-30,53
2023-08-31,55
2023-09-01,54
2023-09-02,56
2023-09-03,59
2023-09-04,58
2023-09-05,54
2023-09-06,52
2023-09-07,51
2023-09-08,51
2023-09-09,58
2023-09-10,57
2023-09-11,54
2023-09-12,52
2023-09-13,56
2023-09-14,56
2023-09-15,53
2023-09-16,59
2023-09-17,57
2023-09-18,54
2023-09-19,52
2023-09-20,55
2023-09-21,53
2023-09-22,54
2023-09-23,59
2023-09-24,56
2023-09-25,61
2023-09-26,56
2023-09-27,59
2023-09-28,67
2023-09-29,61
2023-09-30,63
2023-10-01,59
2023-10-02,54
2023-10-03,60
2023-10-04,58
2023-10-05,61
2023-10-06,57
2023-10-07,58
2023-10-08,55
2023-10-09,59
2023-10-10,52
2023-10-11,53
2023-10-12,53
2023-10-13,54
2023-10-14,59
2023-10-15,59
2023-10-16,55
2023-10-17,54
2023-10-18,55
2023-10-19,57
2023-10-20,56
2023-10-21,59
2023-10-22,61
2023-10-23,56
2023-10-24,54
2023-10-25,55
2023-10-26,54
2023-10-27,55
2023-10-28,57
2023-10-29,55
2023-10-30,53
2023-10-31,54
2023-11-01,54
2023-11-02,54
2023-11-03,54
2023-11-04,58
2023-11-05,57
2023-11-06,59
2023-11-07,58
2023-11-08,51
2023-11-09,56
2023-11-10,61
2023-11-11,64
2023-11-12,64
2023-11-13,59
2023-11-14,59
2023-11-15,61
2023-11-16,59
2023-11-17,58
2023-11-18,64
2023-11-19,64
2023-11-20,60
2023-11-21,60
2023-11-22,61
2023-11-23,59
2023-11-24,71
2023-11-25,76
2023-11-26,72
2023-11-27,64
2023-11-28,66
2023-11-29,64
2023-11-30,61
2023-12-01,61
2023-12-02,69
2023-12-03,70
2023-12-04,71
2023-12-05,68
2023-12-06,66
2023-12-07,63
2023-12-08,66
2023-12-09,68
2023-12-10,68
2023-12-11,58
2023-12-12,63
2023-12-13,63
2023-12-14,65
2023-12-15,64
2023-12-16,74
2023-12-17,68
2023-12-18,63
2023-12-19,63
2023-12-20,65
2023-12-21,61
2023-12-22,63
2023-12-23,72
2023-12-24,62
2023-12-25,66
2023-12-26,68
2023-12-27,68
2023-12-28,67
2023-12-29,66
2023-12-30,66
2023-12-31,64
2024-01-01,56
