Category: All categories

Day,gold: (United States)
2022-01-02,79
2022-01-03,76
2022-01-04,84
2022-01-05,76
2022-01-06,62
2022-01-07,79
2022-01-08,87
2022-01-09,83
2022-01-10,71
2022-01-11,75
2022-01-12,72
2022-01-13,80
2022-01-14,62
2022-01-15,78
2022-01-16,71
2022-01-17,68
2022-01-18,66
2022-01-19,68
2022-01-20,71
2022-01-21,72
2022-01-22,82
2022-01-23,84
2022-01-24,93
2022-01-25,70
2022-01-26,68
2022-01-27,67
2022-01-28,76
2022-01-29,83
2022-01-30,81
2022-01-31,73
2022-02-01,73
2022-02-02,74
2022-02-03,77
2022-02-04,78
2022-02-05,89
2022-02-06,92
2022-02-07,83
2022-02-08,86
2022-02-09,92
2022-02-10,82
2022-02-11,99
2022-02-12,100
2022-02-13,89
2022-02-14,83
2022-02-15,87
2022-02-16,84
2022-02-17,92
2022-02-18,88
2022-02-19,95
2022-02-20,96
2022-02-21,93
2022-02-22,86
2022-02-23,81
2022-02-24,90
2022-02-25,83
2022-02-26,86
2022-02-27,90
2022-02-28,88
2022-03-01,83
2022-03-02,83
2022-03-03,80
2022-03-04,83
2022-03-05,88
2022-03-06,88
2022-03-07,94
2022-03-08,94
2022-03-09,92
2022-03-10,88
2022-03-11,86
2022-03-12,86
2022-03-13,90
2022-03-14,84
2022-03-15,85
2022-03-16,85
2022-03-17,84
2022-03-18,81
2022-03-19,87
2022-03-20,85
2022-03-21,80
2022-03-22,80
2022-03-23,81
2022-03-24,82
2022-03-25,80
2022-03-26,86
2022-03-27,88
2022-03-28,78
2022-03-29,77
2022-03-30,81
2022-03-31,82
2022-04-01,79
2022-04-02,88
2022-04-03,87
2022-04-04,77
2022-04-05,78
2022-04-06,76
2022-04-07,75
2022-04-08,83
2022-04-09,87
2022-04-10,84
2022-04-11,73
2022-04-12,79
2022-04-13,74
2022-04-14,76
2022-04-15,78
2022-04-16,81
2022-04-17,80
2022-04-18,78
2022-04-19,78
2022-04-20,74
2022-04-21,76
2022-04-22,77
2022-04-23,88
2022-04-24,88
2022-04-25,76
2022-04-26,77
2022-04-27,79
2022-04-28,77
2022-04-29,79
2022-04-30,85
2022-05-01,83
2022-05-02,76
2022-05-03,78
2022-05-04,75
2022-05-05,74
2022-05-06,76
2022-05-07,87
2022-05-08,79
2022-05-09,76
2022-05-10,75
2022-05-11,79
2022-05-12,76
2022-05-13,74
2022-05-14,80
2022-05-15,76
2022-05-16,73
2022-05-17,71
2022-05-18,72
2022-05-19,74
2022-05-20,76
2022-05-21,80
2022-05-22,81
2022-05-23,75
2022-05-24,74
2022-05-25,70
2022-05-26,70
2022-05-27,70
2022-05-28,77
2022-05-29,77
2022-05-30,76
2022-05-31,73
2022-06-01,70
