Category: All categories

Day,gold: (United States)
2019-06-02,49
2019-06-03,45
2019-06-04,49
2019-06-05,46
2019-06-06,48
2019-06-07,48
2019-06-08,50
2019-06-09,52
2019-06-10,48
2019-06-11,48
2019-06-12,51
2019-06-13,49
2019-06-14,50
2019-06-15,57
2019-06-16,63
2019-06-17,56
2019-06-18,60
2019-06-19,64
2019-06-20,66
2019-06-21,60
2019-06-22,68
2019-06-23,72
2019-06-24,63
2019-06-25,65
2019-06-26,68
2019-06-27,68
2019-06-28,56
2019-06-29,65
2019-06-30,95
2019-07-01,71
2019-07-02,60
2019-07-03,76
2019-07-04,90
2019-07-05,55
2019-07-06,60
2019-07-07,79
2019-07-08,100
2019-07-09,51
2019-07-10,48
2019-07-11,49
2019-07-12,46
2019-07-13,48
2019-07-14,49
2019-07-15,47
2019-07-16,47
2019-07-17,48
2019-07-18,50
2019-07-19,49
2019-07-20,51
2019-07-21,53
2019-07-22,48
2019-07-23,46
2019-07-24,45
2019-07-25,49
2019-07-26,49
2019-07-27,51
2019-07-28,51
2019-07-29,48
2019-07-30,49
2019-07-31,48
2019-08-01,50
2019-08-02,50
2019-08-03,52
2019-08-04,50
2019-08-05,50
2019-08-06,49
2019-08-07,55
2019-08-08,55
2019-08-09,57
2019-08-10,64
2019-08-11,59
2019-08-12,56
2019-08-13,56
2019-08-14,56
2019-08-15,56
2019-08-16,52
2019-08-17,58
2019-08-18,55
2019-08-19,50
2019-08-20,49
2019-08-21,48
2019-08-22,46
2019-08-23,50
2019-08-24,52
2019-08-25,53
2019-08-26,50
2019-08-27,49
2019-08-28,47
2019-08-29,49
2019-08-30,47
2019-08-31,48
2019-09-01,48
2019-09-02,50
2019-09-03,49
2019-09-04,48
2019-09-05,47
2019-09-06,48
2019-09-07,49
2019-09-08,49
2019-09-09,47
2019-09-10,47
2019-09-11,44
2019-09-12,48
2019-09-13,49
2019-09-14,49
2019-09-15,52
2019-09-16,50
2019-09-17,51
2019-09-18,51
2019-09-19,48
2019-09-20,50
2019-09-21,53
2019-09-22,51
2019-09-23,48
2019-09-24,49
2019-09-25,46
2019-09-26,48
2019-09-27,47
2019-09-28,52
2019-09-29,51
2019-09-30,49
2019-10-01,50
2019-10-02,49
2019-10-03,48
2019-10-04,49
2019-10-05,52
2019-10-06,48
2019-10-07,46
2019-10-08,46
2019-10-09,45
2019-10-10,46
2019-10-11,48
2019-10-12,54
2019-10-13,48
2019-10-14,48
2019-10-15,44
2019-10-16,45
2019-10-17,46
2019-10-18,46
2019-10-19,51
2019-10-20,50
2019-10-21,47
2019-10-22,46
2019-10-23,46
2019-10-24,46
2019-10-25,47
2019-10-26,50
2019-10-27,47
2019-10-28,43
2019-10-29,45
2019-10-30,45
2019-10-31,41
2019-11-01,43
2019-11-02,50
2019-11-03,50
2019-11-04,51
2019-11-05,47
2019-11-06,47
2019-11-07,49
2019-11-08,49
2019-11-09,51
2019-11-10,49
2019-11-11,47
2019-11-12,47
2019-11-13,46
2019-11-14,48
2019-11-15,48
2019-11-16,51
2019-11-17,53
2019-11-18,46
2019-11-19,50
2019-11-20,46
2019-11-21,48
2019-11-22,49
2019-11-23,53
2019-11-24,52
2019-11-25,48
2019-11-26,48
2019-11-27,48
2019-11-28,48
2019-11-29,55
2019-11-30,62
2019-12-01,54
2019-12-02,52
2019-12-03,52
2019-12-04,51
2019-12-05,51
2019-12-06,49
2019-12-07,56
2019-12-08,53
2019-12-09,51
2019-12-10,50
2019-12-11,51
2019-12-12,47
2019-12-13,51
2019-12-14,55
2019-12-15,56
2019-12-16,54
2019-12-17,51
2019-12-18,49
2019-12-19,49
2019-12-20,50
2019-12-21,57
2019-12-22,51
2019-12-23,52
2019-12-24,52
2019-12-25,56
2019-12-26,61
2019-12-27,57
2019-12-28,59
2019-12-29,52
2019-12-30,52
2019-12-31,53
2020-01-01,51
