Category: All categories

Day,gold: (United States)
2018-01-01,60
2018-01-02,60
2018-01-03,59
2018-01-04,59
2018-01-05,61
2018-01-06,70
2018-01-07,68
2018-01-08,62
2018-01-09,57
2018-01-10,57
2018-01-11,58
2018-01-12,58
2018-01-13,68
2018-01-14,66
2018-01-15,63
2018-01-16,59
2018-01-17,56
2018-01-18,59
2018-01-19,59
2018-01-20,65
2018-01-21,62
2018-01-22,59
2018-01-23,58
2018-01-24,61
2018-01-25,60
2018-01-26,59
2018-01-27,66
2018-01-28,68
2018-01-29,59
2018-01-30,60
2018-01-31,57
2018-02-01,59
2018-02-02,62
2018-02-03,68
2018-02-04,61
2018-02-05,59
2018-02-06,63
2018-02-07,61
2018-02-08,60
2018-02-09,64
2018-02-10,75
2018-02-11,90
2018-02-12,82
2018-02-13,85
2018-02-14,100
2018-02-15,79
2018-02-16,75
2018-02-17,84
2018-02-18,74
2018-02-19,71
2018-02-20,73
2018-02-21,74
2018-02-22,84
2018-02-23,81
2018-02-24,93
2018-02-25,91
2018-02-26,72
2018-02-27,60
2018-02-28,63
2018-03-01,61
2018-03-02,61
2018-03-03,67
2018-03-04,64
2018-03-05,61
2018-03-06,60
2018-03-07,60
2018-03-08,57
2018-03-09,56
2018-03-10,66
2018-03-11,64
2018-03-12,58
2018-03-13,63
2018-03-14,58
2018-03-15,60
2018-03-16,60
2018-03-17,68
2018-03-18,68
2018-03-19,59
2018-03-20,57
2018-03-21,59
2018-03-22,59
2018-03-23,59
2018-03-24,65
2018-03-25,68
2018-03-26,59
2018-03-27,58
2018-03-28,59
2018-03-29,58
2018-03-30,58
2018-03-31,61
2018-04-01,60
2018-04-02,58
2018-04-03,59
2018-04-04,60
2018-04-05,56
2018-04-06,59
2018-04-07,65
2018-04-08,66
2018-04-09,58
2018-04-10,57
2018-04-11,58
2018-04-12,57
2018-04-13,56
2018-04-14,63
2018-04-15,65
2018-04-16,57
2018-04-17,56
2018-04-18,58
2018-04-19,60
2018-04-20,57
2018-04-21,64
2018-04-22,64
2018-04-23,56
2018-04-24,58
2018-04-25,58
2018-04-26,57
2018-04-27,56
2018-04-28,62
2018-04-29,64
2018-04-30,53
2018-05-01,55
2018-05-02,56
2018-05-03,56
2018-05-04,56
2018-05-05,60
2018-05-06,62
2018-05-07,58
2018-05-08,57
2018-05-09,55
2018-05-10,58
2018-05-11,61
2018-05-12,65
2018-05-13,63
2018-05-14,57
2018-05-15,57
2018-05-16,70
2018-05-17,73
2018-05-18,67
2018-05-19,67
2018-05-20,68
2018-05-21,60
2018-05-22,59
2018-05-23,57
2018-05-24,61
2018-05-25,56
2018-05-26,62
2018-05-27,63
2018-05-28,65
2018-05-29,58
2018-05-30,56
2018-05-31,59
