Price,Adj Close,Close,High,Low,Open,Volume,Returns,signal,RSI,RSI Signal,MACD,MACD Signal,Short EMA,Long EMA,EMA Signal,Combined Signal,Strategy Returns,Cumulative Strategy,Tech Signal,Cumulative Buy & Hold,Cumulative Buy & Hold (%),Cumulative Strategy (%),Portfolio Value (Buy & Hold),Portfolio Value (Strategy),gold_trend,gold_etf_trend,gold_momentum,gold_etf_momentum
Ticker,GLD,GLD,GLD,GLD,GLD,GLD,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-20,224.55999755859375,224.55999755859375,225.66000366210938,223.02000427246094,223.7899932861328,5990900,,,,0,,,,,0,,,,0,,,,,,59,26,6.0,10.0
2024-05-21,224.22999572753906,224.22999572753906,225.2100067138672,223.6999969482422,224.77000427246094,4002600,-0.001469548604570936,0.0,,0,,,,,0,0.0,,,0,0.9985304513954291,-0.1469548604570936,,998.530451395429,,57,31,-2.0,5.0
2024-05-22,220.11000061035156,220.11000061035156,223.24000549316406,219.74000549316406,223.08999633789062,8903100,-0.01837396956557802,2.0,,0,,,,,0,2.0,-0.0,1.0,0,0.9801834832711865,-1.981651672881346,0.0,980.1834832711866,1000.0,56,25,-1.0,-6.0
2024-05-23,215.72000122070312,215.72000122070312,219.22999572753906,215.66000366210938,218.77999877929688,9537900,-0.019944570339717638,0.0,,0,,,,,0,0.0,-0.039889140679435275,0.9601108593205647,0,0.9606341448432549,-3.9365855156745067,-3.9889140679435275,960.634144843255,960.1108593205647,56,24,0.0,-1.0
2024-05-24,215.9199981689453,215.9199981689453,217.2100067138672,215.74000549316406,216.9600067138672,4208800,0.0009271136061119734,-1.0,,0,,,,,0,-1.0,0.0,0.9601108593205647,0,0.9615247618294348,-3.8475238170565196,-3.9889140679435275,961.5247618294349,960.1108593205647,59,28,3.0,4.0
2024-05-28,218.19000244140625,218.19000244140625,218.58999633789062,217.2100067138672,218.42999267578125,3809700,0.010513172896031486,0.0,,0,,,,,0,0.0,-0.010513172896031486,0.9500170478571702,0,0.9716334378943632,-2.8366562105636817,-4.998295214282978,971.6334378943632,950.0170478571703,56,23,0.0,-2.0
2024-05-29,216.16000366210938,216.16000366210938,217.16000366210938,216.1199951171875,216.9199981689453,4185000,-0.009303812074716977,1.0,,0,,,,,0,1.0,-0.0,0.9500170478571702,0,0.9625935429826828,-3.740645701731715,-4.998295214282978,962.5935429826828,950.0170478571703,54,25,-2.0,2.0
2024-05-30,216.57000732421875,216.57000732421875,217.50999450683594,216.41000366210938,216.69000244140625,3071300,0.0018967600627461945,0.0,,0,,,,,0,0.0,0.0018967600627461945,0.9518190022524737,0,0.9644193519716697,-3.5580648028330275,-4.818099774752627,964.4193519716697,951.8190022524738,56,22,2.0,-3.0
