Date,Gold,Gold Price,SMA_30,SMA_50,EMA_20,MACD,MACD_signal,RSI,BB_middle,BB_upper,BB_lower
2020-03-13,88,1529.348,1607.2817333333332,1588.51196,1614.5552347961122,3.6985009627430827,15.842490547927884,31.462661483903773,1626.1884999999997,1704.6590782543935,1547.717921745606
2020-03-16,87,1500.768,1604.3298333333335,1587.7530199999999,1603.7183552917206,-5.652558930310761,11.543480652280156,30.176205867517353,1622.0445,1716.9970125689567,1527.0919874310432
2020-03-17,82,1532.278,1602.9022666666667,1587.3682800000001,1596.9145119306045,-10.400853046745624,7.154613912475001,34.02762616284953,1618.56815,1721.4043409267663,1515.7319590732338
2020-03-18,82,1469.278,1599.9730333333332,1585.57054,1584.7586536514993,-19.028139285584984,1.9180632728630036,30.062593649367372,1611.5588,1734.2090533558437,1488.9085466441563
2020-03-19,79,1483.678,1597.6600333333333,1583.382,1575.131924732309,-24.421846289968016,-3.349918639703201,36.824605153782244,1604.4429499999999,1739.457211073609,1469.4286889263908
2020-03-20,76,1498.698,1595.4270333333334,1582.18946,1567.852503329232,-27.171196834257216,-8.114174278614003,36.8894867549669,1597.22045,1738.811160536019,1455.629739463981
2020-03-23,75,1571.548,1595.4720333333332,1582.67972,1568.2044553931146,-23.20420712583109,-11.132180848057422,41.419137951734896,1593.0211000000002,1732.292483210736,1453.7497167892643
2020-03-24,84,1614.798,1597.0084666666667,1583.7399799999998,1572.6419358318656,-16.381588896997755,-12.18206245784549,47.27718975302961,1591.68775,1729.50939434992,1453.86610565008
2020-03-25,80,1605.035,1598.2717999999998,1585.06318,1575.7269895621641,-11.628362775866435,-12.07132252144968,41.42186282561544,1589.3265999999999,1724.369065176738,1454.2841348232616
2020-03-26,80,1624.998,1599.9814666666668,1586.5238399999998,1580.41946674672,-6.179318233374715,-10.892921663834688,44.514570566010455,1588.6367500000001,1722.7529827580468,1454.5205172419535
2020-03-27,82,1626.148,1601.6998999999998,1587.9321,1584.7745651517944,-1.747966318506542,-9.06393059476906,45.37040641321843,1590.6724,1725.8159834711792,1455.5288165288207
2020-03-30,78,1613.925,1602.7091333333333,1589.0988399999999,1587.5507970420997,0.7687563078829953,-7.097393214238649,44.9155154982704,1591.36575,1726.8539300738973,1455.8775699261025
2020-03-31,72,1584.328,1602.1265666666666,1589.6464999999998,1587.2438639904713,0.3707725387253049,-5.603760063645859,44.144001639724095,1588.43125,1721.7336937362372,1455.128806263763
2020-04-01,74,1585.288,1601.3206666666667,1590.29356,1587.057591229474,0.13131776187833566,-4.45674449854102,53.39413719217042,1585.71325,1716.8173036638946,1454.6091963361055
2020-04-02,71,1613.098,1600.8907666666667,1591.37962,1589.5376301600002,2.1606757827319143,-3.133260442286433,61.3152433554189,1582.45025,1706.926608071259,1457.9738919287413
2020-04-03,72,1617.048,1600.0207666666668,1592.52708,1592.1576653828572,4.041105277329507,-1.6983872983632453,66.83041633135136,1579.6252499999998,1697.8015851621992,1461.4489148378004
2020-04-06,74,1659.578,1600.1555333333333,1594.28954,1598.5786496321089,8.861030319794054,0.41349622526821456,67.85584038870468,1579.2749,1696.4026382975303,1462.1471617024695
2020-04-07,73,1648.238,1600.3813,1595.6631999999997,1603.308111571908,11.63172908161323,2.657142796537218,79.35637749913064,1578.74755,1694.4543480743616,1463.0407519256385
2020-04-08,74,1648.658,1600.2613,1597.3286600000001,1607.6271485650598,13.703453421139784,4.866404921457732,78.3640389786333,1579.33555,1696.3981793255928,1462.2729206744073
2020-04-09,76,1682.148,1601.7063999999998,1599.3928600000002,1614.7243725112446,17.842001511411127,7.461524239448411,79.65605762764474,1585.4442,1710.71581060268,1460.1725893973198
2020-04-10,83,1682.148,1604.9301666666665,1601.6027200000003,1621.1456703673166,20.881126066336947,10.145444604826118,73.38800402628934,1593.0842,1722.5194813605478,1463.6489186394522
2020-04-13,77,1720.108,1608.9318333333333,1604.2183799999998,1630.5706541418579,26.052393155622667,13.326834314985428,72.77898908096701,1604.0512,1737.6541864882083,1470.448213511792
2020-04-14,79,1720.698,1611.5211666666664,1607.13024,1639.1542108902524,29.854127847733935,16.63229302153513,76.05222021506154,1613.4722,1752.2384399297916,1474.7059600702082
2020-04-15,79,1714.308,1614.0098333333333,1610.2732999999998,1646.3117146149903,31.9827333432886,19.702381085885825,71.42651504246437,1625.7237,1753.7370509387526,1497.7103490612474
2020-04-16,82,1705.148,1614.9028333333333,1613.3148999999999,1651.9151703659436,32.555256357261214,22.272956140160904,68.25154791608908,1636.7972,1750.601303233027,1522.993096766973
2020-04-17,84,1681.998,1615.1845,1615.6411,1654.7802017596632,30.78609055502011,23.975583023132746,64.97116742248636,1645.9622,1740.8979731534978,1551.026426846502
2020-04-20,78,1688.808,1615.9252666666666,1618.0133,1658.020944449219,29.592401216455073,25.09894666179721,75.53773953852172,1651.8252,1741.7627208876154,1561.8876791123846
2020-04-21,83,1682.898,1616.7290333333333,1620.29716,1660.3901878350077,27.848486193744975,25.648854568186763,73.29483079566606,1655.2302,1744.4186152982338,1566.0417847017661
