Date,Gold,Gold Price
2020-11-25,84,1810.578
2020-11-27,89,1786.648
2020-11-30,82,1784.138
2020-12-01,82,1809.388
2020-12-02,85,1835.885
2020-12-03,85,1840.638
2020-12-04,84,1838.208
2020-12-07,83,1870.018
2020-12-08,78,1860.385
2020-12-09,81,1840.058
2020-12-10,77,1837.408
2020-12-11,78,1838.998
2020-12-14,79,1835.695
2020-12-15,77,1856.815
2020-12-16,80,1868.265
2020-12-17,79,1884.695
2020-12-18,83,1880.838
2020-12-21,71,1880.605
2020-12-22,78,1866.758
2020-12-23,79,1875.198
2020-12-24,78,1879.125
2020-12-28,83,1877.115
2020-12-29,80,1885.368
2020-12-30,78,1888.725
2020-12-31,78,1897.765
2021-01-04,83,1939.555
2021-01-05,85,1944.518
2021-01-06,80,1917.668
2021-01-07,79,1909.208
2021-01-08,89,1848.508
2021-01-11,82,1850.655
2021-01-12,80,1859.598
2021-01-13,85,1840.145
2021-01-14,81,1853.178
2021-01-15,84,1827.478
2021-01-19,87,1849.418
2021-01-20,86,1870.858
2021-01-21,86,1863.855
2021-01-22,88,1855.198
2021-01-25,81,1856.325
2021-01-26,85,1847.325
2021-01-27,85,1837.055
2021-01-28,88,1842.708
2021-01-29,88,1847.048
2021-02-01,97,1853.985
2021-02-02,84,1840.458
2021-02-03,88,1822.215
2021-02-04,90,1795.158
2021-02-05,87,1814.048
2021-02-08,83,1841.095
2021-02-09,84,1843.815
2021-02-10,83,1835.622
2021-02-11,84,1822.382
2021-02-12,83,1823.648
2021-02-16,81,1792.855
2021-02-17,84,1782.605
2021-02-18,82,1767.745
2021-02-19,85,1783.398
2021-02-22,88,1812.565
2021-02-23,81,1809.105
2021-02-24,84,1797.875
2021-02-25,82,1767.815
2021-02-26,85,1733.188
2021-03-01,87,1713.306
2021-03-02,82,1735.135
2021-03-03,88,1714.935
2021-03-04,86,1691.995
2021-03-05,87,1699.398
2021-03-08,85,1687.475
2021-03-09,84,1712.974
2021-03-10,81,1732.118
2021-03-11,83,1718.758
2021-03-12,82,1726.958
2021-03-15,77,1733.479
2021-03-16,87,1735.778
2021-03-17,93,1748.878
2021-03-18,87,1731.604
2021-03-19,89,1744.858
2021-03-22,84,1735.585
2021-03-23,80,1731.608
2021-03-24,84,1735.248
2021-03-25,81,1724.815
2021-03-26,81,1731.808
2021-03-29,78,1707.305
2021-03-30,79,1679.385
2021-03-31,82,1712.728
2021-04-01,80,1728.805
2021-04-02,81,1728.805
2021-04-05,79,1733.348
2021-04-06,77,1738.145
2021-04-07,79,1738.538
2021-04-08,80,1753.058
2021-04-09,81,1743.028
2021-04-12,84,1731.665
2021-04-13,79,1743.818
2021-04-14,81,1738.338
2021-04-15,83,1763.105
2021-04-16,81,1775.748
2021-04-19,81,1773.168
2021-04-20,77,1781.948
2021-04-21,78,1793.298
2021-04-22,85,1785.938
2021-04-23,78,1776.818
2021-04-26,82,1779.728
2021-04-27,86,1771.758
2021-04-28,81,1784.468
2021-04-29,82,1766.208
2021-04-30,77,1768.428
2021-05-03,84,1789.635
2021-05-04,81,1782.615
2021-05-05,82,1789.668
2021-05-06,84,1820.428
2021-05-07,82,1830.618
2021-05-10,78,1834.668
2021-05-11,85,1826.968
