Date,Close_Price,Close_GLD,High_GLD,Low_GLD,Open_GLD,Volume_GLD,Daily_Return,Search_Interest
2018-02-01,128.07000732421875,128.07000732421875,128.14999389648438,127.08000183105469,127.18000030517578,10854600,0.003290292152912322,17
2018-03-01,124.72000122070312,124.72000122070312,125.30999755859375,123.58000183105469,124.1500015258789,12910100,-0.0022399902343750444,12
2018-05-01,123.70999908447266,123.70999908447266,123.9800033569336,123.38999938964844,123.9000015258789,7551600,-0.007063145351023148,11
2018-06-01,122.48999786376953,122.48999786376953,123.08999633789062,122.44000244140625,122.58000183105469,8059100,-0.004955325896935703,11
2018-08-01,115.13999938964844,115.13999938964844,115.69999694824219,115.12999725341797,115.62999725341797,7941700,-0.007328204929526905,14
2018-10-01,112.56999969482422,112.56999969482422,112.62000274658203,112.1500015258789,112.4000015258789,3892600,-0.001685016298391906,19
2018-11-01,116.62999725341797,116.62999725341797,117.06999969482422,116.18000030517578,116.33000183105469,13662900,0.01285276342099273,16
2019-02-01,124.5,124.5,125.05000305175781,124.37000274658203,124.88999938964844,12485500,-0.002004008016032066,15
2019-03-01,121.87999725341797,121.87999725341797,123.95999908447266,121.87000274658203,123.4800033569336,16411700,-0.017017506627186707,11
2019-04-01,121.52999877929688,121.52999877929688,122.43000030517578,121.45999908447266,122.4000015258789,13560000,-0.003934131206699276,12
2019-05-01,120.4000015258789,120.4000015258789,121.55000305175781,120.18000030517578,121.02999877929688,12331800,-0.0066006224629272525,14
2019-07-01,130.6199951171875,130.6199951171875,131.75999450683594,130.5500030517578,131.55999755859375,13317700,-0.019369383559800002,17
2019-08-01,136.41000366210938,136.41000366210938,136.42999267578125,132.30999755859375,132.4199981689453,27719800,0.02402219643390402,46
2019-10-01,139.6300048828125,139.6300048828125,140.19000244140625,137.8000030517578,138.07000732421875,12476200,0.005472814807717441,23
2019-11-01,142.55999755859375,142.55999755859375,142.89999389648438,142.00999450683594,142.2100067138672,8090000,0.000912763389017579,22
2020-04-01,149.4499969482422,149.4499969482422,150.0800018310547,147.85000610351562,148.1999969482422,11827400,0.009456223354449733,97
2020-05-01,159.77999877929688,159.77999877929688,160.4499969482422,157.8000030517578,158.0,10914300,0.00617125761149806,65
2020-06-01,163.66000366210938,163.66000366210938,163.74000549316406,162.38999938964844,162.9199981689453,8140200,0.004603768848692402,52
2020-07-01,166.6199951171875,166.6199951171875,167.05999755859375,165.33999633789062,167.0500030517578,13214800,-0.004481089931769877,98
2020-09-01,185.0500030517578,185.0500030517578,186.99000549316406,184.3300018310547,186.99000549316406,10662100,0.0011902895553947967,41
2020-10-01,178.6999969482422,178.6999969482422,179.5,178.0399932861328,178.7100067138672,10402800,0.008920516455577454,31
2020-12-01,170.17999267578125,170.17999267578125,170.47999572753906,169.3000030517578,169.75999450683594,13533300,0.0210595460814611,42
2021-02-01,174.22999572753906,174.22999572753906,175.25999450683594,174.05999755859375,175.02000427246094,9105500,0.009385291185094458,61
2021-03-01,161.52999877929688,161.52999877929688,163.35000610351562,161.16000366210938,163.02999877929688,13828300,-0.0017304170540851649,49
2021-04-01,161.97999572753906,161.97999572753906,162.11000061035156,161.27999877929688,161.55999755859375,7105200,0.012628087827510459,36
2021-06-01,177.89999389648438,177.89999389648438,178.85000610351562,177.19000244140625,178.75999450683594,9143300,-0.0026909461441234628,34
2021-07-01,166.1999969482422,166.1999969482422,166.8800048828125,165.5,166.64999389648438,7430500,0.0034413575356286863,27
2021-09-01,169.6999969482422,169.6999969482422,170.0,169.16000366210938,169.94000244140625,4764900,5.8898619200498104e-05,24
2021-10-01,164.58999633789062,164.58999633789062,164.9600067138672,163.88999938964844,164.27000427246094,6654700,0.0022530453929923144,26
2021-11-01,167.52000427246094,167.52000427246094,167.83999633789062,166.91000366210938,167.3800048828125,4975600,0.005220584505493342,31
2021-12-01,166.16000366210938,166.16000366210938,167.47000122070312,166.05999755859375,166.83999633789062,7808600,0.003987937535404162,19
2022-02-01,168.22999572753906,168.22999572753906,168.85000610351562,167.8699951171875,168.57000732421875,9763900,0.0008328835308379912,41
2022-03-01,181.6199951171875,181.6199951171875,181.75999450683594,179.02999877929688,179.0500030517578,21942100,0.018163415997793697,45
2022-04-01,179.5,179.5,180.4600067138672,178.97999572753906,179.5500030517578,13034400,-0.006365867342034592,37
2022-06-01,172.22999572753906,172.22999572753906,172.52999877929688,171.38999938964844,172.2100067138672,6946500,0.006369033199590923,31
2022-07-01,168.32000732421875,168.32000732421875,168.67999267578125,166.9600067138672,167.13999938964844,11380300,-0.0008310541616338707,32
2022-08-01,165.02999877929688,165.02999877929688,165.41000366210938,164.41000366210938,164.97999572753906,4666900,0.0056672312077465925,25
2022-09-01,157.8699951171875,157.8699951171875,158.38999938964844,157.32000732421875,158.1699981689453,7390800,-0.008790162100319021,28
2022-11-01,153.4600067138672,153.4600067138672,153.97999572753906,152.8699951171875,153.82000732421875,4603600,0.010203429757038585,19
2022-12-01,167.83999633789062,167.83999633789062,167.9499969482422,166.97999572753906,167.47999572753906,8625800,0.01838479961277617,25
2023-02-01,181.6699981689453,181.6699981689453,181.72999572753906,178.6300048828125,179.75,7996000,0.012596814339808304,30
2023-03-01,170.75999450683594,170.75999450683594,171.49000549316406,170.47000122070312,170.9499969482422,6590500,0.005772150633673867,44
2023-05-01,183.97000122070312,183.97000122070312,186.22000122070312,183.91000366210938,186.0500030517578,7997700,-0.004491351825477108,34
2023-06-01,183.75999450683594,183.75999450683594,184.2100067138672,182.72000122070312,182.80999755859375,7300500,0.00789813034647624,34
2023-08-01,180.4600067138672,180.4600067138672,181.3800048828125,180.19000244140625,180.85000610351562,6239700,-0.010364679607279714,30
2023-09-01,180.11000061035156,180.11000061035156,181.1199951171875,179.50999450683594,180.8000030517578,4969300,0.0004999240959600026,33
2023-11-01,183.50999450683594,183.50999450683594,185.0,182.6699981689453,183.91000366210938,9048600,-0.003150642851826202,35
2023-12-01,192.00999450683594,192.00999450683594,192.39999389648438,188.69000244140625,188.80999755859375,16724900,0.017271494075951965,39
